"","year","state","emp_rate"
"200",2013,"Virginia",0.825
"201",2013,"Washington",0.801
"202",2013,"West Virginia",0.74
"203",2013,"Wisconsin",0.823
"204",2013,"Wyoming",0.866
"205",2014,"Alabama",0.76
"206",2014,"Alaska",0.821
"207",2014,"Arizona",0.791
"208",2014,"Arkansas",0.777
"209",2014,"California",0.801
"210",2014,"Colorado",0.833
"211",2014,"Connecticut",0.825
"212",2014,"Delaware",0.814
"213",2014,"District of Columbia",0.79
"214",2014,"Florida",0.786
"215",2014,"Georgia",0.788
"216",2014,"Hawaii",0.809
"217",2014,"Idaho",0.819
"218",2014,"Illinois",0.816
"219",2014,"Indiana",0.806
"220",2014,"Iowa",0.851
"221",2014,"Kansas",0.84
"222",2014,"Kentucky",0.749
"223",2014,"Louisiana",0.773
"224",2014,"Maine",0.789
"225",2014,"Maryland",0.852
"226",2014,"Massachusetts",0.821
"227",2014,"Michigan",0.769
"228",2014,"Minnesota",0.855
"229",2014,"Mississippi",0.742
"230",2014,"Missouri",0.794
"231",2014,"Montana",0.784
"232",2014,"Nebraska",0.871
"233",2014,"Nevada",0.798
"234",2014,"New Hampshire",0.851
"235",2014,"New Jersey",0.851
"236",2014,"New Mexico",0.757
"237",2014,"New York",0.806
"238",2014,"North Carolina",0.781
"239",2014,"North Dakota",0.852
"240",2014,"Ohio",0.792
"241",2014,"Oklahoma",0.811
"242",2014,"Oregon",0.779
"243",2014,"Pennsylvania",0.808
"244",2014,"Rhode Island",0.798
"245",2014,"South Carolina",0.773
"246",2014,"South Dakota",0.848
"247",2014,"Tennessee",0.776
"248",2014,"Texas",0.83
"249",2014,"Utah",0.865
"250",2014,"Vermont",0.818
"251",2014,"Virginia",0.826
"252",2014,"Washington",0.809
"253",2014,"West Virginia",0.734
"254",2014,"Wisconsin",0.827
"255",2014,"Wyoming",0.868
"256",2015,"Alabama",0.763
"257",2015,"Alaska",0.792
"258",2015,"Arizona",0.799
"259",2015,"Arkansas",0.779
"260",2015,"California",0.813
"261",2015,"Colorado",0.843
"262",2015,"Connecticut",0.83
"263",2015,"Delaware",0.813
"264",2015,"District of Columbia",0.781
"265",2015,"Florida",0.796
"266",2015,"Georgia",0.801
"267",2015,"Hawaii",0.818
"268",2015,"Idaho",0.821
"269",2015,"Illinois",0.821
"270",2015,"Indiana",0.818
"271",2015,"Iowa",0.852
"272",2015,"Kansas",0.848
"273",2015,"Kentucky",0.762
"274",2015,"Louisiana",0.769
"275",2015,"Maine",0.799
"276",2015,"Maryland",0.853
"277",2015,"Massachusetts",0.822
"278",2015,"Michigan",0.778
"279",2015,"Minnesota",0.856
"280",2015,"Mississippi",0.747
"281",2015,"Missouri",0.816
"282",2015,"Montana",0.808
"283",2015,"Nebraska",0.868
"284",2015,"Nevada",0.795
"285",2015,"New Hampshire",0.864
"286",2015,"New Jersey",0.85
"287",2015,"New Mexico",0.751
"288",2015,"New York",0.813
"289",2015,"North Carolina",0.794
"290",2015,"North Dakota",0.855
"291",2015,"Ohio",0.796
"292",2015,"Oklahoma",0.814
"293",2015,"Oregon",0.797
"294",2015,"Pennsylvania",0.817
"295",2015,"Rhode Island",0.803
"296",2015,"South Carolina",0.779
"297",2015,"South Dakota",0.837
"298",2015,"Tennessee",0.792
"299",2015,"Texas",0.839
"300",2015,"Utah",0.864
"301",2015,"Vermont",0.832
"302",2015,"Virginia",0.831
"303",2015,"Washington",0.819
"304",2015,"West Virginia",0.738
"305",2015,"Wisconsin",0.842
"306",2015,"Wyoming",0.862
"307",2016,"Alabama",0.77
"308",2016,"Alaska",0.781
"309",2016,"Arizona",0.8
"310",2016,"Arkansas",0.789
"311",2016,"California",0.82
"312",2016,"Colorado",0.846
"313",2016,"Connecticut",0.837
"314",2016,"Delaware",0.834
"315",2016,"District of Columbia",0.771
"316",2016,"Florida",0.803
"317",2016,"Georgia",0.81
"318",2016,"Hawaii",0.823
"319",2016,"Idaho",0.838
"320",2016,"Illinois",0.827
"321",2016,"Indiana",0.824
"322",2016,"Iowa",0.862
"323",2016,"Kansas",0.863
"324",2016,"Kentucky",0.764
"325",2016,"Louisiana",0.761
"326",2016,"Maine",0.795
"327",2016,"Maryland",0.86
"328",2016,"Massachusetts",0.83
"329",2016,"Michigan",0.794
"330",2016,"Minnesota",0.867
"331",2016,"Mississippi",0.755
"332",2016,"Missouri",0.823
"333",2016,"Montana",0.798
"334",2016,"Nebraska",0.879
"335",2016,"Nevada",0.817
"336",2016,"New Hampshire",0.875
"337",2016,"New Jersey",0.858
"338",2016,"New Mexico",0.756
"339",2016,"New York",0.817
"340",2016,"North Carolina",0.797
"341",2016,"North Dakota",0.855
"342",2016,"Ohio",0.808
"343",2016,"Oklahoma",0.809
"344",2016,"Oregon",0.811
"345",2016,"Pennsylvania",0.819
"346",2016,"Rhode Island",0.799
"347",2016,"South Carolina",0.794
"348",2016,"South Dakota",0.849
"349",2016,"Tennessee",0.798
"350",2016,"Texas",0.839
"351",2016,"Utah",0.871
"352",2016,"Vermont",0.841
"353",2016,"Virginia",0.836
"354",2016,"Washington",0.827
"355",2016,"West Virginia",0.743
"356",2016,"Wisconsin",0.841
"357",2016,"Wyoming",0.839
"358",2017,"Alabama",0.75
"359",2017,"Alaska",0.779
"360",2017,"Arizona",0.786
"361",2017,"Arkansas",0.773
"362",2017,"California",0.795
"363",2017,"Colorado",0.824
"364",2017,"Connecticut",0.809
"365",2017,"Delaware",0.787
"366",2017,"District of Columbia",0.747
"367",2017,"Florida",0.778
"368",2017,"Georgia",0.797
"369",2017,"Hawaii",0.796
"370",2017,"Idaho",0.812
"371",2017,"Illinois",0.808
"372",2017,"Indiana",0.803
"373",2017,"Iowa",0.838
"374",2017,"Kansas",0.833
"375",2017,"Kentucky",0.753
"376",2017,"Louisiana",0.746
"377",2017,"Maine",0.778
"378",2017,"Maryland",0.836
"379",2017,"Massachusetts",0.804
"380",2017,"Michigan",0.774
"381",2017,"Minnesota",0.839
"382",2017,"Mississippi",0.74
"383",2017,"Missouri",0.795
"384",2017,"Montana",0.789
"385",2017,"Nebraska",0.848
"386",2017,"Nevada",0.788
"387",2017,"New Hampshire",0.839
"388",2017,"New Jersey",0.845
"389",2017,"New Mexico",0.727
"390",2017,"New York",0.795
"391",2017,"North Carolina",0.784
"392",2017,"North Dakota",0.854
"393",2017,"Ohio",0.785
"394",2017,"Oklahoma",0.783
"395",2017,"Oregon",0.773
"396",2017,"Pennsylvania",0.799
"397",2017,"Rhode Island",0.808
"398",2017,"South Carolina",0.775
"399",2017,"South Dakota",0.831
"400",2017,"Tennessee",0.79
"401",2017,"Texas",0.823
"402",2017,"Utah",0.853
"403",2017,"Vermont",0.797
"404",2017,"Virginia",0.818
"405",2017,"Washington",0.8
"406",2017,"West Virginia",0.702
"407",2017,"Wisconsin",0.82
"408",2017,"Wyoming",0.818
"409",2018,"Alabama",0.759
"410",2018,"Alaska",0.764
"411",2018,"Arizona",0.789
"412",2018,"Arkansas",0.767
"413",2018,"California",0.802
"414",2018,"Colorado",0.827
"415",2018,"Connecticut",0.818
"416",2018,"Delaware",0.813
"417",2018,"District of Columbia",0.769
"418",2018,"Florida",0.79
"419",2018,"Georgia",0.807
"420",2018,"Hawaii",0.786
"421",2018,"Idaho",0.801
"422",2018,"Illinois",0.817
"423",2018,"Indiana",0.814
"424",2018,"Iowa",0.838
"425",2018,"Kansas",0.834
"426",2018,"Kentucky",0.754
"427",2018,"Louisiana",0.75
"428",2018,"Maine",0.788
"429",2018,"Maryland",0.844
"430",2018,"Massachusetts",0.812
"431",2018,"Michigan",0.778
"432",2018,"Minnesota",0.838
"433",2018,"Mississippi",0.752
"434",2018,"Missouri",0.802
"435",2018,"Montana",0.787
"436",2018,"Nebraska",0.849
"437",2018,"Nevada",0.792
"438",2018,"New Hampshire",0.837
"439",2018,"New Jersey",0.852
"440",2018,"New Mexico",0.731
"441",2018,"New York",0.794
"442",2018,"North Carolina",0.794
"443",2018,"North Dakota",0.847
"444",2018,"Ohio",0.794
"445",2018,"Oklahoma",0.796
"446",2018,"Oregon",0.786
"447",2018,"Pennsylvania",0.811
"448",2018,"Rhode Island",0.789
"449",2018,"South Carolina",0.785
"450",2018,"South Dakota",0.817
"451",2018,"Tennessee",0.784
"452",2018,"Texas",0.827
"453",2018,"Utah",0.854
"454",2018,"Vermont",0.797
"455",2018,"Virginia",0.823
"456",2018,"Washington",0.805
"457",2018,"West Virginia",0.719
"458",2018,"Wisconsin",0.827
"459",2018,"Wyoming",0.832
"460",2019,"Alabama",0.773
"461",2019,"Alaska",0.764
"462",2019,"Arizona",0.789
"463",2019,"Arkansas",0.78
"464",2019,"California",0.807
"465",2019,"Colorado",0.83
"466",2019,"Connecticut",0.808
"467",2019,"Delaware",0.8
"468",2019,"District of Columbia",0.764
"469",2019,"Florida",0.795
"470",2019,"Georgia",0.81
"471",2019,"Hawaii",0.799
"472",2019,"Idaho",0.824
"473",2019,"Illinois",0.824
"474",2019,"Indiana",0.805
"475",2019,"Iowa",0.832
"476",2019,"Kansas",0.836
"477",2019,"Kentucky",0.764
"478",2019,"Louisiana",0.75
"479",2019,"Maine",0.784
"480",2019,"Maryland",0.839
"481",2019,"Massachusetts",0.82
"482",2019,"Michigan",0.787
"483",2019,"Minnesota",0.836
"484",2019,"Mississippi",0.742
"485",2019,"Missouri",0.803
"486",2019,"Montana",0.785
"487",2019,"Nebraska",0.86
"488",2019,"Nevada",0.804
"489",2019,"New Hampshire",0.832
"490",2019,"New Jersey",0.851
"491",2019,"New Mexico",0.746
"492",2019,"New York",0.796
"493",2019,"North Carolina",0.795
"494",2019,"North Dakota",0.839
"495",2019,"Ohio",0.799
"496",2019,"Oklahoma",0.796
"497",2019,"Oregon",0.775
"498",2019,"Pennsylvania",0.807
"499",2019,"Rhode Island",0.811
"500",2019,"South Carolina",0.783
"501",2019,"South Dakota",0.847
"502",2019,"Tennessee",0.798
"503",2019,"Texas",0.827
"504",2019,"Utah",0.856
"505",2019,"Vermont",0.785
"506",2019,"Virginia",0.827
"507",2019,"Washington",0.808
"508",2019,"West Virginia",0.731
"509",2019,"Wisconsin",0.831
"510",2019,"Wyoming",0.835
