"","year","state","male_rate"
"457",2018,"West Virginia",0.493
"458",2018,"Wisconsin",0.495
"459",2018,"Wyoming",0.504
"460",2019,"Alabama",0.481
"461",2019,"Alaska",0.507
"462",2019,"Arizona",0.493
"463",2019,"Arkansas",0.484
"464",2019,"California",0.494
"465",2019,"Colorado",0.501
"466",2019,"Connecticut",0.487
"467",2019,"Delaware",0.482
"468",2019,"District of Columbia",0.475
"469",2019,"Florida",0.485
"470",2019,"Georgia",0.482
"471",2019,"Hawaii",0.488
"472",2019,"Idaho",0.499
"473",2019,"Illinois",0.487
"474",2019,"Indiana",0.49
"475",2019,"Iowa",0.495
"476",2019,"Kansas",0.49
"477",2019,"Kentucky",0.49
"478",2019,"Louisiana",0.481
"479",2019,"Maine",0.484
"480",2019,"Maryland",0.48
"481",2019,"Massachusetts",0.486
"482",2019,"Michigan",0.49
"483",2019,"Minnesota",0.496
"484",2019,"Mississippi",0.475
"485",2019,"Missouri",0.487
"486",2019,"Montana",0.499
"487",2019,"Nebraska",0.497
"488",2019,"Nevada",0.497
"489",2019,"New Hampshire",0.494
"490",2019,"New Jersey",0.487
"491",2019,"New Mexico",0.488
"492",2019,"New York",0.484
"493",2019,"North Carolina",0.48
"494",2019,"North Dakota",0.505
"495",2019,"Ohio",0.489
"496",2019,"Oklahoma",0.49
"497",2019,"Oregon",0.492
"498",2019,"Pennsylvania",0.487
"499",2019,"Rhode Island",0.489
"500",2019,"South Carolina",0.477
"501",2019,"South Dakota",0.504
"502",2019,"Tennessee",0.484
"503",2019,"Texas",0.491
"504",2019,"Utah",0.5
"505",2019,"Vermont",0.494
"506",2019,"Virginia",0.484
"507",2019,"Washington",0.497
"508",2019,"West Virginia",0.491
"509",2019,"Wisconsin",0.493
"510",2019,"Wyoming",0.509
